TaskId	TaskName	TaskType	MapId	PosX	PosY	MapName	NpcId	Num	LevelSeg	color
Số nhiệm vụ	Tên nhân vật	Loại nhiệm vụ	Số bản đồ	Tọa độ X bản đồ	Tọa độ Y bản đồ	Tên bản đồ	NpcId	Số lượng	Cấp đoạn	Màu
50001	Bộc Tán A Lỗ	KillNpc	86	1851	3899	Thái Hành Cổ Kính	2995	1	1	yellow
50002	Bào Triệt Sơn	KillNpc	86	1819	3354	Thái Hành Cổ Kính	2996	1	1	yellow
50003	Thái Cô Trần	KillNpc	86	1710	3289	Thái Hành Cổ Kính	2997	1	1	yellow
50004	Tào An Phủ	KillNpc	86	1712	3918	Thái Hành Cổ Kính	2998	1	1	yellow
50005	Lương Ất Xương	KillNpc	87	1817	3396	Đại Tán Quan	2999	1	1	yellow
50006	Cốc Kiếm Thu	KillNpc	87	1583	3885	Đại Tán Quan	3000	1	1	yellow
50007	Cố Thủ Đằng	KillNpc	87	1785	3530	Đại Tán Quan	3001	1	1	yellow
50008	Quan Thiên Vấn	KillNpc	87	1872	3934	Đại Tán Quan	3002	1	1	yellow
50009	Giả Thiện Nhân	KillNpc	88	1920	3875	Hán Thủy Cổ Độ	3003	1	1	yellow
50010	Giang Trầm Nhạn	KillNpc	88	1602	3604	Hán Thủy Cổ Độ	3004	1	1	yellow
50011	Khương Tự Dao	KillNpc	88	1888	3282	Hán Thủy Cổ Độ	3005	1	1	yellow
50012	Giải Qui Nam	KillNpc	88	1925	3551	Hán Thủy Cổ Độ	3006	1	1	yellow
50013	Kha Hùng Phi	KillNpc	89	1555	3189	Hàn Sơn Cổ Sát	3007	1	1	yellow
50014	Khổng Bất Dung	KillNpc	89	1610	3694	Hàn Sơn Cổ Sát	3008	1	1	yellow
50015	Lôi Cầu Khách	KillNpc	89	1897	3692	Hàn Sơn Cổ Sát	3009	1	1	yellow
50016	Lý Hành Kiệm	KillNpc	89	1923	3188	Hàn Sơn Cổ Sát	3010	1	1	yellow
50017	Tần Tư Du	KillNpc	90	1932	3928	Cán Hoa Khê	3011	1	1	yellow
50018	Khuất Hướng Vinh	KillNpc	90	1925	3228	Cán Hoa Khê	3012	1	1	yellow
50019	Nhậm Thương Khung	KillNpc	90	1606	3331	Cán Hoa Khê	3013	1	1	yellow
50020	Tang Thương Hải	KillNpc	90	1721	3996	Cán Hoa Khê	3014	1	1	yellow
50021	Tô Cổ Ngâm	KillNpc	91	1722	3252	Nhĩ Hải Ma Nham	3015	1	1	yellow
50022	Tôn Văn Bưu	KillNpc	91	1710	3788	Nhĩ Hải Ma Nham	3016	1	1	yellow
50023	Đàm Thiên Quân	KillNpc	91	1899	3754	Nhĩ Hải Ma Nham	3017	1	1	yellow
50024	Đường Bác Văn	KillNpc	91	1963	3299	Nhĩ Hải Ma Nham	3018	1	1	yellow
50025	Ngô Tranh Tranh	KillNpc	92	2013	3794	Thái Thạch Cơ	3019	1	1	yellow
50026	Vũ Nhất Đao	KillNpc	92	1823	3209	Thái Thạch Cơ	3020	1	1	yellow
