Định dạng : a,b,c,d 4 chỉ số id của item
18,1,1,1
18,1,1,2
18,1,1,3
18,1,1,4
18,1,1,5
18,1,1,6
18,1,1,7
18,1,1,8
18,1,1,9
18,1,1,10
18,1,114,1
18,1,114,2
18,1,114,3
18,1,114,4
18,1,114,5
18,1,114,6
18,1,114,7
18,1,114,8
18,1,114,9
18,1,114,10
18,1,252,1
18,1,1573,1
18,1,20763,1
18,1,20912,1
18,1,20912,2
18,1,20912,3
18,1,20912,4
18,1,20912,5
18,1,20912,6
18,1,20382,1
18,1,20382,2
18,1,20382,3
18,1,20382,4
18,1,20382,5
18,1,20382,6
18,1,20382,7
22,1,35,1
22,1,37,1
22,1,39,1
22,1,43,1
22,1,112,1
22,1,113,1
22,1,114,1
