FromMapId	FromPosX	FromPosY	Type	Name	ToMapId	ToPosX	ToPosY	ToFightState	BeProtected	FromMap chú thích	ToMap chú thích		
1	50272	104608	trap	to_tianrenjiao	10	47104	106944	0		Vân Trung Trấn	Thiên Nhẫn Giáo		
1	43392	96064	trap	to_samanjiao	11	54272	103904	0		Vân Trung Trấn	Tát Mãn Giáo		
1	41888	101216	trap	to_bianjingfu	23	51936	92608	0		Vân Trung Trấn	Biện Kinh Phủ		
1	51296	103008	trap	to_guzhanchang	30	51936	129312	1	1	Vân Trung Trấn	Chiến Trường Cổ		
1	51392	103808	trap	to_zhendongmuyuan	38	50208	112928	1	1	Vân Trung Trấn	Trấn Đông Mộ Viên		
1	44320	95648	trap	to_chilechuan	114	61664	122176	1	1	Vân Trung Trấn	Sắc Lặc Xuyên		
2	53920	119744	trap	to_kunlunpai	12	57184	96352	0		Long Môn Trấn	Côn Lôn Phái		
2	55840	119712	trap	to_fengxiangfu	24	50752	102784	0		Long Môn Trấn	Phượng Tường Phủ		
2	51200	113984	trap	to_longmenkezhan	31	65088	113600	1	1	Long Môn Trấn	Quán Trọ Long Môn		
2	51104	117984	trap	to_qilianshan	39	65120	104064	1	1	Long Môn Trấn	Kỳ Liên Sơn		
2	52928	102336	trap	to_jiayuguan	115	57376	103072	1	1	Long Môn Trấn	Gia Dụ Quan		
2	51840	106336	trap	to_dunhuanggucheng	123	60672	124832	1	1	Long Môn Trấn	Đôn Hoàng Cổ Thành		
2	52864	109536	trap	to_yueyaquan	131	62016	115872	1	1	Long Môn Trấn	Nguyệt Nha Tuyền		
3	54464	108512	trap	to_wudangpai	14	48704	92960	0		Vĩnh Lạc Trấn	Võ Đang Phái		
3	60576	99552	trap	to_shaolinpai	9	50624	104384	0		Vĩnh Lạc Trấn	Thiếu Lâm Phái		
3	56160	108256	trap	to_xiangyangfu	25	56928	95744	0		Vĩnh Lạc Trấn	Tương Dương Phủ		
3	58816	98880	trap	to_junmachang	32	51648	126624	1	1	Vĩnh Lạc Trấn	Quân Mã Trường		
3	55264	97088	trap	to_tongguan	40	58112	124256	1	1	Vĩnh Lạc Trấn	Đồng Quan		
3	53408	97088	trap	to_huashan	116	60512	122400	1	1	Vĩnh Lạc Trấn	Hoa Sơn		
3	48992	99104	trap	to_afanggongfeixu	132	62912	120416	1	1	Vĩnh Lạc Trấn	Tàn Tích Cung A Phòng		
4	53600	108576	trap	to_gaibang	15	48992	104832	0		Đạo Hương Thôn	Cái Bang		
4	55520	105696	trap	to_yangzhoufu	26	47104	98912	0		Đạo Hương Thôn	Dương Châu Phủ		
4	48448	99456	trap	to_meihualing	33	63616	129536	1	1	Đạo Hương Thôn	Mai Hoa Lĩnh		
4	49216	108960	trap	to_huaishuishazhou	41	63264	107968	1	1	Đạo Hương Thôn	Hoài Thủy Sa Châu		
4	56608	100864	trap	to_jianjudong	110	44224	104928	1	1	Đạo Hương Thôn	Tiến Cúc Động		
4	54752	97632	trap	to_shugangmijing	117	57408	106048	1	1	Đạo Hương Thôn	Thục Cương Bí Cảnh		
5	46432	100192	trap	to_tangmen	18	49696	106688	0		Giang Tân Thôn	Đường Môn		
5	46816	98176	trap	to_emeipai	16	45472	105600	0		Giang Tân Thôn	Nga My Phái		
5	49280	95104	trap	to_chengdufu	27	55552	107104	0		Giang Tân Thôn	Thành Đô Phủ		
5	49664	105152	trap	to_changjianghegu	34	54048	109024	1	1	Giang Tân Thôn	Trường Giang Hà Cốc		
5	48352	104384	trap	to_shunanzhuhai	42	64896	109760	1	1	Giang Tân Thôn	Thục Nam Trúc Hải		
5	55072	100224	trap	to_fengduguicheng	118	50688	125248	1	1	Giang Tân Thôn	Phong Đô Quỷ Thành		
5	55008	98112	trap	to_sanxiazhandao	126	48736	114944	1	1	Giang Tân Thôn	Tam Hiệp Sạn Đạo		
6	46400	106080	trap	to_cuiyanmen	17	52640	105664	0		Thạch Cổ Trấn	Thúy Yên Môn		
6	42848	99040	trap	to_daliduanshi	19	50816	107520	0		Thạch Cổ Trấn	Đại Lý Đoàn Thị		
6	45184	97184	trap	to_dalifu	28	53088	110880	0		Thạch Cổ Trấn	Đại Lý Phủ		
